iter	Passed	Remaining
306	7103	14693
307	7125	14667
308	7146	14640
309	7170	14619
310	7193	14594
311	7215	14569
312	7237	14544
313	7259	14519
314	7282	14495
315	7305	14471
316	7329	14451
317	7351	14425
318	7374	14401
319	7396	14377
320	7418	14352
321	7441	14327
322	7464	14304
323	7489	14284
324	7511	14259
325	7533	14235
326	7555	14209
327	7578	14187
328	7601	14163
329	7623	14138
330	7647	14116
331	7671	14094
332	7694	14072
333	7716	14046
334	7738	14022
335	7762	14000
336	7785	13977
337	7808	13953
338	7830	13929
339	7855	13909
340	7879	13887
341	7905	13868
342	7929	13846
343	7952	13824
344	7976	13801
345	8002	13784
346	8026	13762
347	8050	13740
348	8074	13719
349	8097	13696
350	8121	13674
351	8144	13652
352	8168	13629
353	8190	13604
354	8213	13580
355	8235	13556
356	8257	13531
357	8280	13507
358	8303	13484
359	8326	13460
360	8350	13438
361	8372	13413
362	8394	13389
363	8417	13366
364	8440	13343
365	8464	13321
366	8488	13299
367	8513	13278
368	8536	13255
369	8558	13230
370	8581	13207
371	8604	13184
372	8626	13159
373	8648	13134
374	8670	13110
375	8695	13089
376	8721	13070
377	8744	13048
378	8767	13024
379	8790	13000
380	8814	12978
381	8839	12958
382	8862	12935
383	8886	12912
384	8909	12889
385	8935	12870
386	8960	12849
387	8984	12828
388	9008	12806
389	9031	12783
390	9055	12760
391	9079	12738
392	9103	12717
393	9128	12696
394	9153	12676
395	9177	12653
396	9200	12629
397	9222	12605
398	9244	12580
399	9268	12558
400	9290	12534
401	9312	12509
402	9335	12485
403	9358	12462
404	9380	12438
405	9408	12421
406	9430	12396
407	9452	12371
408	9475	12348
409	9499	12326
410	9522	12303
411	9546	12280
412	9569	12257
413	9591	12233
414	9617	12212
415	9640	12189
416	9664	12168
417	9687	12144
418	9712	12123
419	9737	12102
420	9761	12080
421	9785	12057
422	9808	12034
423	9831	12011
424	9854	11987
425	9877	11964
426	9904	11945
427	9928	11923
428	9953	11901
429	9976	11879
430	10000	11856
431	10025	11835
432	10048	11812
433	10071	11788
434	10094	11765
435	10116	11741
436	10141	11719
437	10164	11695
438	10188	11673
439	10211	11650
440	10233	11626
441	10255	11601
442	10277	11576
443	10302	11555
444	10325	11531
445	10348	11509
446	10372	11486
447	10394	11462
448	10417	11438
449	10439	11414
450	10462	11390
451	10487	11368
452	10509	11345
453	10532	11321
454	10556	11299
455	10578	11274
456	10602	11251
457	10624	11227
458	10647	11204
459	10670	11180
460	10691	11155
461	10715	11132
462	10738	11110
463	10760	11085
464	10783	11061
465	10809	11041
466	10832	11018
467	10857	10996
468	10881	10973
469	10905	10951
470	10927	10927
471	10950	10903
472	10972	10879
473	10996	10857
474	11021	10836
475	11044	10812
476	11067	10788
477	11091	10767
478	11115	10743
479	11139	10721
480	11162	10697
481	11186	10675
482	11209	10652
483	11234	10630
484	11255	10606
485	11277	10580
486	11301	10558
487	11323	10534
488	11344	10509
489	11366	10485
490	11389	10461
491	11411	10437
492	11436	10415
493	11459	10392
494	11483	10370
495	11508	10348
496	11532	10325
497	11554	10301
498	11577	10278
499	11604	10258
500	11627	10234
501	11651	10212
502	11672	10187
503	11695	10163
504	11721	10142
505	11744	10119
506	11766	10095
507	11789	10072
508	11812	10049
509	11835	10025
510	11859	10002
511	11882	9979
512	11905	9956
513	11927	9932
514	11953	9910
515	11976	9887
516	12003	9867
517	12027	9844
518	12049	9820
519	12072	9797
520	12095	9774
521	12117	9750
522	12140	9726
523	12163	9702
524	12185	9678
525	12208	9655
526	12230	9631
527	12252	9607
528	12275	9583
529	12298	9560
530	12321	9536
531	12345	9514
532	12367	9489
533	12389	9466
534	12411	9442
535	12436	9419
536	12458	9396
537	12484	9374
538	12507	9351
539	12530	9328
540	12553	9304
541	12577	9282
542	12603	9260
543	12625	9236
544	12648	9213
545	12671	9189
546	12695	9167
547	12719	9144
548	12742	9121
549	12766	9099
550	12789	9075
551	12812	9052
552	12835	9028
553	12858	9005
554	12882	8982
555	12904	8959
556	12930	8937
557	12953	8913
558	12975	8890
559	12999	8867
560	13025	8846
561	13048	8822
562	13070	8798
563	13092	8775
564	13117	8752
565	13141	8730
566	13164	8706
567	13187	8683
568	13211	8660
569	13234	8637
570	13257	8613
571	13278	8589
572	13300	8565
573	13323	8541
574	13346	8518
575	13368	8494
576	13391	8471
577	13413	8447
578	13436	8423
579	13458	8399
580	13482	8377
581	13504	8353
582	13527	8329
583	13550	8306
584	13573	8283
585	13596	8259
586	13619	8236
587	13640	8212
588	13662	8188
589	13685	8164
590	13710	8142
591	13734	8119
592	13756	8096
593	13779	8072
594	13801	8048
595	13827	8027
596	13849	8003
597	13872	7979
598	13894	7956
599	13916	7932
600	13938	7908
601	13963	7886
602	13987	7863
603	14011	7840
604	14033	7817
605	14055	7793
606	14076	7768
607	14099	7745
608	14121	7721
609	14143	7697
610	14166	7674
611	14191	7652
612	14213	7628
613	14238	7606
614	14260	7582
615	14283	7559
616	14307	7536
617	14331	7513
618	14354	7490
619	14379	7468
620	14402	7444
621	14426	7422
622	14449	7398
623	14473	7375
624	14495	7352
625	14519	7329
626	14541	7305
627	14563	7281
628	14588	7259
629	14610	7235
630	14633	7212
631	14655	7188
632	14677	7164
633	14700	7141
634	14726	7119
635	14748	7095
636	14768	7071
637	14792	7048
638	14816	7025
639	14840	7002
640	14863	6979
641	14886	6956
642	14909	6932
643	14933	6910
644	14954	6886
645	14976	6862
646	14999	6838
647	15021	6815
648	15045	6792
649	15068	6769
650	15091	6746
651	15114	6722
652	15137	6699
653	15161	6676
654	15183	6652
655	15205	6629
656	15226	6605
657	15249	6581
658	15272	6558
659	15294	6535
660	15316	6511
661	15341	6488
662	15364	6465
663	15386	6442
664	15408	6418
665	15433	6395
666	15456	6372
667	15481	6350
668	15505	6327
669	15529	6304
670	15553	6281
671	15575	6258
672	15600	6235
673	15624	6212
674	15647	6189
675	15673	6167
676	15694	6143
677	15719	6120
678	15741	6097
679	15767	6075
680	15790	6051
681	15814	6029
682	15837	6005
683	15861	5982
684	15885	5959
685	15908	5936
686	15930	5913
687	15953	5889
688	15976	5866
689	16000	5843
690	16022	5820
691	16045	5796
692	16067	5773
693	16089	5749
694	16111	5725
695	16133	5702
696	16157	5679
697	16181	5656
698	16205	5633
699	16228	5610
700	16251	5587
701	16274	5563
702	16297	5540
703	16320	5517
704	16341	5493
705	16364	5470
706	16386	5446
707	16408	5423
708	16432	5400
709	16456	5377
710	16479	5354
711	16501	5330
712	16523	5307
713	16548	5284
714	16571	5261
715	16594	5238
716	16620	5215
717	16642	5192
718	16665	5168
719	16687	5145
720	16710	5122
721	16733	5098
722	16756	5075
723	16779	5052
724	16803	5029
725	16826	5006
726	16850	4983
727	16874	4960
728	16898	4937
729	16921	4914
730	16946	4891
731	16969	4868
732	16991	4844
733	17013	4821
734	17036	4798
735	17058	4774
736	17082	4751
737	17105	4728
738	17129	4705
739	17154	4682
740	17177	4659
741	17202	4636
742	17225	4613
743	17248	4590
744	17271	4567
745	17293	4543
746	17316	4520
747	17340	4497
748	17363	4474
749	17386	4450
750	17408	4427
751	17431	4404
752	17455	4381
753	17478	4358
754	17501	4334
755	17525	4311
756	17548	4288
757	17575	4266
758	17596	4242
759	17621	4219
760	17643	4196
761	17666	4173
762	17688	4149
763	17711	4126
764	17734	4103
765	17758	4080
766	17780	4056
767	17804	4033
768	17827	4010
769	17850	3987
770	17876	3964
771	17902	3942
772	17925	3919
773	17948	3895
774	17971	3872
775	17997	3850
776	18021	3827
777	18045	3803
778	18067	3780
779	18089	3757
780	18113	3734
781	18135	3710
782	18158	3687
783	18180	3663
784	18202	3640
785	18224	3617
786	18246	3593
787	18268	3570
788	18292	3547
789	18315	3524
790	18338	3500
791	18360	3477
792	18383	3454
793	18404	3430
794	18426	3407
795	18449	3383
796	18471	3360
797	18493	3337
798	18518	3314
799	18540	3290
800	18565	3268
801	18588	3244
802	18610	3221
803	18632	3198
804	18655	3174
805	18680	3151
806	18702	3128
807	18727	3105
808	18751	3082
809	18773	3059
810	18795	3036
811	18817	3012
812	18840	2989
813	18863	2966
814	18885	2942
815	18909	2919
816	18934	2896
817	18957	2873
818	18981	2850
819	19004	2827
820	19027	2804
821	19051	2781
822	19073	2757
823	19096	2734
824	19117	2711
825	19143	2688
826	19165	2665
827	19190	2642
828	19213	2618
829	19236	2595
830	19261	2572
831	19283	2549
832	19306	2526
833	19327	2502
834	19349	2479
835	19373	2456
836	19395	2433
837	19417	2409
838	19439	2386
839	19461	2363
840	19484	2339
841	19509	2317
842	19531	2293
843	19556	2270
844	19578	2247
845	19601	2224
846	19627	2201
847	19650	2178
848	19673	2155
849	19697	2131
850	19719	2108
851	19742	2085
852	19765	2062
853	19788	2039
854	19810	2015
855	19832	1992
856	19854	1969
857	19877	1946
858	19899	1922
859	19923	1899
860	19945	1876
861	19968	1853
862	19992	1830
863	20013	1806
864	20037	1783
865	20059	1760
866	20084	1737
867	20106	1714
868	20130	1691
869	20153	1667
870	20177	1644
871	20200	1621
872	20222	1598
873	20245	1575
874	20268	1551
875	20292	1528
876	20315	1505
877	20338	1482
878	20362	1459
879	20383	1436
880	20406	1412
881	20431	1389
882	20454	1366
883	20477	1343
884	20500	1320
885	20524	1297
886	20547	1274
887	20571	1250
888	20593	1227
889	20615	1204
890	20641	1181
891	20664	1158
892	20687	1135
893	20710	1111
894	20733	1088
895	20756	1065
896	20780	1042
897	20802	1019
898	20825	996
899	20848	972
900	20871	949
901	20895	926
902	20917	903
903	20941	880
904	20964	857
905	20989	834
906	21012	810
907	21035	787
908	21059	764
909	21080	741
910	21102	718
911	21128	695
912	21151	671
913	21176	648
914	21198	625
915	21221	602
916	21245	579
917	21268	556
918	21291	532
919	21313	509
920	21335	486
921	21356	463
922	21379	440
923	21402	416
924	21424	393
925	21447	370
926	21472	347
927	21494	324
928	21517	301
929	21539	277
930	21563	254
931	21586	231
932	21609	208
933	21632	185
934	21655	162
935	21677	138
936	21700	115
937	21723	92
938	21745	69
939	21769	46
940	21790	23
941	21815	0
