iter	RMSE
304	8601.267465
305	8594.283928
306	8580.095631
307	8570.208237
308	8558.070193
309	8550.284983
310	8537.005071
311	8532.387417
312	8517.74486
313	8510.607069
314	8493.063435
315	8483.721944
316	8473.490655
317	8463.77063
318	8452.560544
319	8433.122452
320	8426.947271
321	8418.119222
322	8406.466271
323	8393.990469
324	8378.41013
325	8368.026446
326	8359.39974
327	8351.25123
328	8340.167772
329	8331.159972
330	8326.469873
331	8316.122346
332	8309.247229
333	8301.538373
334	8293.48278
335	8277.218938
336	8266.044757
337	8250.152097
338	8230.842912
339	8219.891754
340	8210.134625
341	8201.305388
342	8178.224411
343	8171.875253
344	8161.064339
345	8150.624643
346	8135.00491
347	8122.165422
348	8106.492948
349	8097.957098
350	8092.193476
351	8076.525809
352	8066.085388
353	8053.948568
354	8047.656795
355	8040.750847
356	8028.650156
357	8014.910204
358	8008.742822
359	8003.535303
360	7995.574866
361	7985.748694
362	7976.628444
363	7958.657206
364	7948.703869
365	7942.397449
366	7934.049598
367	7923.320173
368	7904.443163
369	7895.116456
370	7886.343877
371	7866.899017
372	7860.027013
373	7847.145081
374	7833.877929
375	7818.15345
376	7810.028861
377	7798.557563
378	7790.804392
379	7778.275654
380	7768.087149
381	7760.922703
382	7750.969802
383	7742.569613
384	7736.511336
385	7727.13757
386	7721.230689
387	7713.40055
388	7703.897728
389	7692.533687
390	7678.901124
391	7671.824785
392	7661.853437
393	7649.887599
394	7636.991287
395	7625.472056
396	7615.757791
397	7605.533873
398	7591.246166
399	7583.248408
400	7574.451857
401	7566.967152
402	7555.422923
403	7549.481267
404	7542.49781
405	7533.770347
406	7527.090819
407	7522.889965
408	7509.243806
409	7504.703329
410	7497.935653
411	7493.071415
412	7483.508633
413	7476.232567
414	7469.670516
415	7452.733815
416	7444.337943
417	7433.791357
418	7427.295757
419	7422.309487
420	7407.196771
421	7400.832309
422	7392.244743
423	7385.780097
424	7374.046167
425	7362.36768
426	7353.856652
427	7346.722147
428	7334.274274
429	7320.84328
430	7317.131075
431	7310.93271
432	7303.955612
433	7296.918785
434	7293.300251
435	7283.409024
436	7278.251619
437	7266.431531
438	7260.828221
439	7254.27777
440	7244.361043
441	7235.157195
442	7226.649828
443	7221.016205
444	7212.135159
445	7201.552492
446	7189.015863
447	7182.266716
448	7175.059673
449	7166.777169
450	7158.99486
451	7155.867986
452	7150.243958
453	7145.015363
454	7139.269704
455	7133.3509
456	7127.17725
457	7118.463655
458	7112.862584
459	7104.746416
460	7101.268893
461	7093.451485
462	7085.112626
463	7080.98112
464	7076.419164
465	7069.237557
466	7065.40017
467	7058.361661
468	7054.713358
469	7045.546592
470	7038.828133
471	7028.785029
472	7021.153483
473	7012.821687
474	7006.081086
475	7000.453282
476	6995.519581
477	6991.107238
478	6987.187391
479	6979.428759
480	6973.333792
481	6963.984524
482	6958.371345
483	6955.288241
484	6949.342005
485	6944.375081
486	6937.087788
487	6930.154033
488	6924.086626
489	6917.605259
490	6913.85406
491	6906.228761
492	6900.758338
493	6893.721086
494	6888.225756
495	6878.789929
496	6869.965558
497	6859.952867
498	6852.176512
499	6845.73996
500	6839.314345
501	6833.459336
502	6826.913653
503	6822.591215
504	6817.612729
505	6811.94023
506	6807.727456
507	6802.137221
508	6795.784074
509	6791.34992
510	6785.860144
511	6780.944457
512	6774.630707
513	6768.464798
514	6764.921785
515	6760.399171
516	6753.240856
517	6746.56391
518	6738.402067
519	6734.80649
520	6729.506702
521	6726.008243
522	6713.271024
523	6706.960937
524	6700.918465
525	6695.153738
526	6683.467411
527	6678.401342
528	6670.338949
529	6663.173747
530	6659.709388
531	6655.522141
532	6648.864606
533	6646.61867
534	6641.669324
535	6635.414553
536	6631.155623
537	6627.238686
538	6622.192871
539	6615.139348
540	6608.018074
541	6603.392541
542	6598.660253
543	6591.267109
544	6585.720433
545	6581.687333
546	6577.05157
547	6570.910082
548	6568.74339
549	6561.838003
550	6557.115222
551	6554.192734
552	6547.359124
553	6538.633859
554	6533.203236
555	6530.18868
556	6525.181471
557	6519.388047
558	6513.341181
559	6509.190234
560	6504.928937
561	6499.448247
562	6494.089646
563	6490.266571
564	6482.310405
565	6477.146646
566	6472.476251
567	6469.606692
568	6460.890343
569	6457.118837
570	6451.147426
571	6447.634839
572	6437.646018
573	6430.354398
574	6425.254801
575	6420.061057
576	6413.524591
577	6407.681252
578	6403.90137
579	6401.290146
580	6396.893695
581	6393.368653
582	6388.288469
583	6379.314
584	6374.070043
585	6368.95155
586	6356.749865
587	6350.203255
588	6345.129719
589	6341.993354
590	6339.494076
591	6335.520571
592	6332.578209
593	6329.110011
594	6323.41648
595	6318.679598
596	6311.219639
597	6302.460029
598	6299.605375
599	6295.035495
600	6288.29704
601	6284.961942
602	6279.379765
603	6273.363988
604	6269.456138
605	6264.894265
606	6260.627864
607	6258.711762
608	6254.325389
609	6249.688646
610	6242.123486
611	6237.37387
612	6234.426768
613	6228.528408
614	6224.723744
615	6220.239874
616	6217.114256
617	6213.759051
618	6209.579183
619	6204.406511
620	6199.993144
621	6195.099336
622	6193.103679
623	6187.948895
624	6183.022858
625	6178.559855
626	6173.584062
627	6171.303793
628	6168.207564
629	6163.788644
630	6158.151277
631	6153.233853
632	6150.124624
633	6147.703324
634	6144.439638
635	6140.975522
636	6135.759821
637	6132.898697
638	6127.854115
639	6124.377896
640	6121.101793
641	6117.037429
642	6114.482337
643	6111.04203
644	6106.953647
645	6100.638071
646	6098.078918
647	6094.401451
648	6092.116478
649	6086.495994
650	6082.779259
651	6080.212631
652	6077.572433
653	6074.352434
654	6071.038369
655	6067.678088
656	6065.115551
657	6060.47874
658	6056.276859
659	6051.47919
660	6047.760627
661	6044.355933
662	6041.935132
663	6038.896265
664	6034.145708
665	6031.531234
666	6029.014937
667	6026.27696
668	6023.535022
669	6019.474877
670	6015.782393
671	6012.127837
672	6008.048768
673	6004.207929
674	6000.632893
675	5993.954881
676	5992.07736
677	5988.498309
678	5985.835146
679	5981.858284
680	5977.765045
681	5972.987205
682	5968.572513
683	5965.28027
684	5961.537322
685	5957.303069
686	5955.717623
687	5953.206293
688	5948.927052
689	5943.253875
690	5938.217598
691	5932.755126
692	5930.300241
693	5925.836092
694	5923.507193
695	5921.384777
696	5918.263308
697	5914.615245
698	5911.106572
699	5907.828784
700	5903.119853
701	5898.449745
702	5891.974568
703	5887.682428
704	5882.92785
705	5880.385912
706	5877.511315
707	5875.177195
708	5871.307045
709	5868.39282
710	5867.220031
711	5864.42975
712	5860.109563
713	5857.855986
714	5852.891613
715	5847.802863
716	5845.324813
717	5841.286566
718	5838.388443
719	5835.667881
720	5832.859152
721	5831.529926
722	5828.039752
723	5823.580008
724	5821.168371
725	5818.870863
726	5816.11574
727	5814.39408
728	5811.240227
729	5807.974698
730	5805.889332
731	5802.947256
732	5799.788832
733	5795.474977
734	5791.654843
735	5788.48555
736	5785.970245
737	5784.407121
738	5782.517441
739	5780.012199
740	5777.783698
741	5775.978716
742	5772.423814
743	5770.473334
744	5766.670599
745	5764.354458
746	5761.483083
747	5758.043306
748	5755.434202
749	5751.662622
750	5748.437252
751	5745.286916
752	5742.447962
753	5739.794913
754	5733.225306
755	5728.869479
756	5725.45718
757	5720.866354
758	5718.376226
759	5715.052254
760	5712.612263
761	5709.007293
762	5705.420915
763	5703.234641
764	5699.49733
765	5694.567642
766	5692.710384
767	5689.40203
768	5688.448519
769	5685.696499
770	5684.29567
771	5682.054303
772	5679.870164
773	5677.964579
774	5675.999952
775	5673.736331
776	5672.451769
777	5670.259073
778	5667.370302
779	5664.762657
780	5663.42675
781	5660.376617
782	5656.330842
783	5654.316387
784	5651.971902
785	5649.686304
786	5645.129995
787	5642.413173
788	5639.482768
789	5636.55606
790	5633.654351
791	5631.178649
792	5628.642965
793	5626.493211
794	5622.691785
795	5619.656136
796	5616.592521
797	5613.88499
798	5610.810496
799	5608.564229
800	5604.652903
801	5602.599614
802	5600.782938
803	5599.499259
804	5597.094158
805	5595.435282
806	5594.204781
807	5591.48328
808	5589.690928
809	5584.848221
810	5580.743791
811	5578.351117
812	5574.465265
813	5571.925632
814	5569.175972
815	5567.252543
816	5565.533593
817	5564.216472
818	5561.349441
819	5559.0122
820	5556.036034
821	5553.200319
822	5551.38846
823	5548.535135
824	5544.583355
825	5540.441673
826	5536.561265
827	5535.475259
828	5532.221227
829	5529.477788
830	5527.066635
831	5522.284433
832	5520.515593
833	5517.299498
834	5514.686395
835	5511.385786
836	5509.795512
837	5504.814797
838	5500.127228
839	5498.619395
840	5496.303522
841	5494.842217
842	5492.736278
843	5490.46037
844	5488.957918
845	5486.382067
846	5485.281922
847	5483.870796
848	5481.530551
849	5478.800517
850	5476.643064
851	5474.895623
852	5473.150036
853	5470.301923
854	5465.165139
855	5463.512292
856	5461.359589
857	5457.665864
858	5454.550077
859	5450.541988
860	5448.062401
861	5446.442746
862	5444.956092
863	5441.787779
864	5440.579582
865	5439.293149
866	5437.122145
867	5435.222765
868	5431.108617
869	5427.807751
870	5425.917568
871	5421.397504
872	5419.796303
873	5417.242818
874	5415.337116
875	5413.000921
876	5410.087404
877	5407.98338
878	5406.494036
879	5404.355789
880	5400.71296
881	5398.087414
882	5395.829479
883	5392.89833
884	5390.99073
885	5390.215989
886	5388.310364
887	5384.440991
888	5382.029001
889	5379.26879
890	5376.539912
891	5374.965749
892	5373.556437
893	5371.598515
894	5370.515552
895	5367.152393
896	5364.741252
897	5363.086927
898	5360.935676
899	5358.840031
900	5356.481911
901	5354.833546
902	5352.246179
903	5351.50835
904	5348.571052
905	5346.855455
906	5345.4365
907	5342.079107
908	5340.034111
909	5336.753766
910	5335.354059
911	5331.949309
912	5329.742361
913	5327.488287
914	5325.773326
915	5324.437369
916	5322.43416
917	5320.108182
918	5318.997769
919	5314.853945
920	5311.23453
921	5308.943674
922	5307.692013
923	5305.14772
924	5303.326447
925	5301.471345
926	5299.34265
927	5297.728894
928	5296.007238
929	5294.116162
930	5292.222425
931	5290.939935
932	5289.109992
933	5287.46351
934	5285.233221
935	5283.149158
936	5281.603294
937	5277.880145
938	5276.136149
939	5274.392894
940	5271.670381
941	5270.602067
